SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,DateDNAExtracted,zoospore_estimates,Log_bd,infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,antifungal_ASVs,antifungal_reads,Propor_TotalAntiFungal,TTX_Richness,TotalTTX,Propor_TotalTTX,TTX_Real,TTX_RelativeAbundance,Notes
SLNF-05,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,0.255,8,68.2,F,,,0,0,0,10659,61,6.30631003448457,3.81194291811311,0.642743507450551,NA,54,7885,0.739750445632799,1,32,0.0145454545454545,Low,0.303605313092979,NA
SLNF-06,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,0.307,12,78,M,,,785,2.89542254603941,1,7103,45,5.84281580386835,3.04584395121988,0.55461133023669,NA,28,3559,0.501055891876672,1,4,0.00181818181818182,Low,0.0163532297628782,NA
SLNF-07,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,1.592,8,65.6,F,,,0,0,0,8216,81,9.07353205637185,4.02912468766628,0.63552366157449,NA,29,1305,0.158836416747809,1,6,0.00272727272727273,High,0.117855038302887,Used 3mm biopsy punch instead of 5mm due to small size
SLNF-08,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,0.11,14,78.7,M,,,0,0,0,3698,46,3.99416154140056,4.31013286169178,0.780317645747665,NA,35,1878,0.507842076798269,1,5,0.00227272727272727,Low,0.15600624024961,Short tail (regrowing)
SLNF-09,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,1.124,7,66.2,F,,,815,2.91169015875386,1,3157,34,4.58006676066714,2.63416600526215,0.517775969566542,NA,31,773,0.244852708267342,1,2,0.000909090909090909,High,0.00121653761230163,Used 3mm biopsy punch instead of 5mm due to small size
SLNF-10,Swab,07/15/22,SLNF,45.21835,-120.89018,Taricha_granulosa,Tg,NA,0.622,11,77.8,F,,,0,0,0,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
TMC-01,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,0.825,11,67,F,,,0,0,0,3970,86,6.74889332944178,5.52912745074593,0.860395215852298,NA,67,2637,0.664231738035265,1,12,0.00545454545454545,Low,0.214018191546281,NA
TMC-02,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,4.107,14,69.4,M,,,0,0,0,3634,39,3.55558228366408,4.07668279605857,0.771309850650521,NA,35,3187,0.876995046780407,2,123,0.0559090909090909,High,3.21989528795812,NA
TMC-03,Swab,06/21/22,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,0.497,13,67,M,,,0,0,0,1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
TMC-04,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,0.375,12,76.9,M,,,277,2.44404479591808,1,5221,112,6.02550801444875,5.89045144805337,0.865306938671109,NA,52,2394,0.458532848113388,2,3,0.00136363636363636,Low,0.0811249323958897,NA
